"","screenname","tweets"
"1","UltimateKitche5","RT @MerolaTileNY: Thank you to @Rugaholics @GirlinaHard_Hat @UltimateKitche5 @Rajal_ceramic @UrbanStoneSur for joining us! Hope you have a<U+0089><db>_"
"2","Anatolia765","RT @MerolaTileNY: If you're into warm, rustic design, you have to check out these beautiful farmhouse kitchens! https://t.co/0c9xdD4pPJ #ho<U+0089><db>_"
"3","WLC_Architects","@MerolaTileNY Thank you! Hope you do as well"
"4","RolandoTrentini","RT @MerolaTileNY: Tile Trend Alert! Keeping with a Graphic, Black+ White Theme is this peaceful bathroom that makes a statement! #tile http<U+0089><db>_"
"5","tilendco","RT @MerolaTileNY: We stay on top of tile trends so we can sell the best tile! Tell us: what's your favorite? https://t.co/BaOupLHHPI https:<U+0089><db>_"
"6","futeronewsuk","RT @MerolaTileNY: Our new SUGAR series is here! Yay! #tile #interiordesign https://t.co/HrVTYCpu32"
"7","KonterHomes","RT @MerolaTileNY: Bold &amp; bright--you'll love this kitchen! https://t.co/msBflc6Fzm #hgtv #interiordesign #inspiration https://t.co/1XnujRBl<U+0089><db>_"
"8","Signaturec1","RT @MerolaTileNY: Where would you use these Stone Quartz tiles? https://t.co/z0RD2CUmxg https://t.co/fEKZG1sFZh"
"9","MilestoneTrends","My best RTs last week came from @Cierajlay @svmodern @GreatIndoor @nxtwall @1designkitchen @cuoredicoppia @MerolaTileNY @ihainspiredhome"
"10","aapkadecoronlin","RT MerolaTileNY: We love classic subway tile, but there's been a huge marble subway tile trend. What do you think? #homedecortips #decoride<U+0089><db>_"
"11","r3nd3x","RT @MerolaTileNY: For a more graphic design, use dark grout with white tile to really make the tile pop! https://t.co/MSr1e6fXnR https://t.<U+0089><db>_"
"12","LightLocations","#thanks @MerolaTileNY @lucybanwell @UnclesCC thanks for the recent follow. Much appreciated :) (Want this _<U+0660><d2>? &gt;&gt; https://t.co/eCTdKLJwbu)"
"13","colld0ll","You know you work at @merolatileny when..... lmfao _<d9><f7><e2> https://t.co/KtzGbkMdAW"
"14","Prelway","Thanks 4 following! _%<U+008F>@iconfurniture @hola_lf @blancabibi12 @IconScout @MerolaTileNY @dave_song_dc @mauro_longoni<U+0089><db>_ https://t.co/RSFKszngBW"
"15","InhabitHomesLtd","#thanks @MerolaTileNY @inovationretail @GlosterShowroom thanks for the recent follow. Much appreciated :) <U+0089>_<U+0055><fc><U+008F>Get it_<U+0660><U+0489><U+009D><d2>https://t.co/N5KCEMUS9J"
"16","BellotaToolsUSA","Retweeted Merola Tile NY (@MerolaTileNY):What do you think? Would you try this in your bathroom?... https://t.co/zrvddG7uFE"
"17","MerolaTileNY","RT @GilroyInteriors: @MerolaTileNY Our pleasure, it's always good to know what's going on, on the other side of the pond. Have yourselves a<U+0089><db>_"
"18","paulgwhite_us","@MerolaTileNY This rocks! Awesome job guys!"
"19","AccessibleLA","Thanks for the Follows! @DaughtersUnite @_CarbonBlack @MerolaTileNY @lsburhans @JenkinsPainting @LegacyFilmFest @Jib4Seniors"
"20","Vetrazzo","@MerolaTileNY They're our Floating Blue counters! More at https://t.co/LOD71HU1LI"
"21","KarryHomes","RT @MerolaTileNY: Treviso has a hand-painted effect that adds a rustic touch! #interiordesign #homedecor #architecture https://t.co/CXmXvRB<U+0089><db>_"
"22","mytilezone","RT @MerolaTileNY: What a great way to use ledgestone :) https://t.co/V6GUY6COE4"
"23","KitchensKWW","@MerolaTileNY love how the tile brings out the sinks and cabinetry! Spot on design."
"24","GlosGranite","@MarkGoulston @MerolaTileNY @apphil - Thanks for the follow guys, much appreciated."
"25","Deco_Surfaces","@MerolaTileNY Merci de nous suivre. Thank you for following us. https://t.co/qMjQGUPdla     #<U+0089><U+009D>_<U+0095><fc><U+008F>design #<U+0089><U+009D>_<U+0095><fc><U+008F>planchers #<U+0089><U+009D>_<U+0095><fc><U+008F>floors"
"26","CDLLC_US","RT @MoranConstruct: @MerolaTileNY @FD_made @NicoleBremner @cornichebuild @houserefurb @gb_atelier @CDLLC_US thank you, hope it's a good one<U+0089><db>_"
"27","ECoastCabinetCo","RT @MerolaTileNY: Need some design inspiration? Check out these 20 Dreamy Kitchen ideas! https://t.co/3BIsx77PJf #hgtv #interiordesign http<U+0089><db>_"
"28","AlnoSanDiego","RT @MerolaTileNY: The airy, soothing colors in this Texan home are reminiscent of a coastal town in New England https://t.co/rYWfOzDktF #in<U+0089><db>_"
"29","miamidecor","RT @HomeImprovTop: Leanne and Brad Shaffer Home Makeover - Pennsylvania H... https://t.co/TzLrrdQxbP via @MerolaTileNY https://t.co/s8anz7Y<U+0089><db>_"
"30","B2B_Wholesales","RT @MerolaTileNY: Our newest line includes the elegant Ledger Stone GLACIER! Call your Sales Rep for a sample today! https://t.co/RLI48M0K0x"
"31","KurtisKitchen","@MerolaTileNY thanks!"
"32","ProVenture_CCS","RT @MerolaTileNY: An oldie but goodie, Rock &amp; Stone is sure to be a timeless classic in your house #interiordesign #homedecor https://t.co/<U+0089><db>_"
"33","KonterHomes","RT @MerolaTileNY: You don't need to stargaze to see the beautiful Galaxy Hex! #interiordesign #homedecor #homeimprovement https://t.co/AI5f<U+0089><db>_"
"34","calvettabro","RT @MerolaTileNY: You can never go wrong with a classic pennyround! #interiordesign #tiles https://t.co/dNPUneYfha"
"35","KitchensKWW","RT @MerolaTileNY: Have an nice weekend! @DNaylorInterior @PeakLt @Cedar_Pines @RoseStoneGranit @MirasolLLC @TaylorproR @OxalaInteriors @Kit<U+0089><db>_"
"36","tracyguida","@MerolaTileNY I love that look"
