"","screenname","tweets"
"1","SandraS98560127","@HillaryClinton has as many colourful supporters as @realdonaldtrump, I believe? #Election2016 https://t.co/nnaJlOkFso"
"2","MaxxLeight","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/OYaO7oPeKe"
"3","eOpinionTvNews","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/yzOh6KWeBn"
"4","sureshsidh","RT @France4Hillary: Who do you think will stop racist, lying, sexist, vulgar, juvenile, dangerous @realDonaldTrump? #Election2016"
"5","BADRIAN76495727","RT @France4Hillary: Who do you think will stop racist, lying, sexist, vulgar, juvenile, dangerous @realDonaldTrump? #Election2016"
"6","kevinjs1977","RT @infowars: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/VVOTRVXRBk #Election2016"
"7","boydhigg","RT @infowars: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/VVOTRVXRBk #Election2016"
"8","JoshElChonen","Hey @realDonaldTrump, remember extraordinary people will have extraordinary critics. It's a sure sign of future victory. #Election2016"
"9","darlaerickson8","RT @RealAlexJones: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/9G41t8uWfr #Election2016"
"10","GOPdumbset","If you have a minute say a prayer for Anderson Cooper, @realDonaldTrump just gave him the business on #grabgate #Election2016 #Trump"
"11","NewsNetNews","<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> #Election2016 @AC360 @realDonaldTrump Continues To Blame #Cruz &amp; Says Of The Issue ""I Won't Let It Go"" <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
"12","cokey318","@NRO @texasfreedom101 @realDonaldTrump If Hillary wins #Election2016, will pray that National Review goes broke. #GOPTownHall @GOP"
"13","nicholasvollaro","Bullshit @realDonaldTrump needs ratings for his stupid show #election2016  RT @DRUDGE_REPORT: TRUMP SERIOUS:  HEADS TO IOWA..."
"14","eugene71737","RT @realDonaldTrump: ""@JenCromartie: @realDonaldTrump needs to run for president #Election2016 #DonaldTrump"""
"15","EdExamines","RT @mcspocky: MT @HeresWhatTweets: #NBC Says ‘You’re Fired,’ Cuts Ties With @realDonaldTrump http://t.co/0rwlilEFYg
#election2016 http://t.co/zg87ShjOWn"
"16","romeocharlie08","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"17","WDSM710","RT @foxnewsradio: ""What's happening to the middle class is very very sad."" @realDonaldTrump  #GretaTalk #podcast http://t.co/MIEPHgCzRu #Election2016"
"18","WatchTheBreaks","I would pay money to vote if we could narrow the field down to just @realDonaldTrump vs @BernieSanders #Election2016 @extremesleuth"
"19","TheUSALifeStyle","VOTE FOR DONALD TRUMP @realDonaldTrump #MakeAmericaGreatAgain #Trump2016 #Election2016 #GOP #Politics http://t.co/zawUgvSi4U"
"20","dorota916","Please tell me @realDonaldTrump is just trolling... #USPolitics #Election2016"
"21","AlanTonelson","Say what you will re @realDonaldTrump, his entry in2 #election2016 means crucial #trade/#jobs/#manufacturing issues get much higher profile."
"22","TheUSALifeStyle","@DLoesch VOTE For DONALD TRUMP To #MakeAmericaGreatAgain @realDonaldTrump #Trump2016 #Election2016 http://t.co/MMKkTaTapk"
"23","SocialiteLook","RT @SocialiteNation: It's official @realDonaldTrump is in it to win it. #Election2016 @IvankaTrump #TheWhiteHouse #DonaldTrump http://t.co/he7cozc7c1"
