timestamp,Screenname,text
2017-04-14 17:27:05 +0000,MerolaTile,RT @ArchitecFeedd: #architecture #interiordesign #deco This Small Apartment In Barcelona Was Inspired By A Beach House https://t.co/LDqEf7Sâ€_
2017-04-14 17:12:56 +0000,MerolaTile,"RT @ActionComplete: I have chosen to be #HAPPY because it is good for my health.
~Voltaire
#quotes #happiness #positivity https://t.co/3SiDâ€_"
2017-04-14 16:01:28 +0000,MerolaTile,A super fun and modern face lift for this Massachusetts garage https://t.co/KikTMIty5d #interiordesign #houzz https://t.co/eFGfYQ6Q0S
2017-04-14 14:01:22 +0000,MerolaTile,Have you seen our new Marble Mosaics line? https://t.co/hOvUi5CAkt #interiordesign #mosaics https://t.co/sodvT5rXEu
2017-04-13 19:01:12 +0000,MerolaTile,Get a taste of the tropics in your home with RAIN FOREST! https://t.co/prptlvNdIn #interiordesign #tile https://t.co/ePirXQGgNO
2017-04-13 16:01:20 +0000,MerolaTile,A light &amp; airy home in Ireland with classic charm...a must see! https://t.co/8BpG1uPZKo #interiordesign #interiors https://t.co/IgPZg3jXUd
2017-04-13 14:01:15 +0000,MerolaTile,BOXWOOD has finally arrived! Ask for your FREE sample today https://t.co/0QuA3jiMK6 https://t.co/mcgxMxtmxH
2017-04-12 18:40:40 +0000,MerolaTile,"@JSICabinetry We agree! Aromatherapy through bath bombs or bubbles is a quick, convenient way to get some relaxing scents #kbtribechat"
2017-04-12 18:39:12 +0000,MerolaTile,RT @tkpleslie: A3: Tips for creating a spa oasis in a bathroom? Warm floors. Lots of towels. Candles. Soft Music. Flowers. Scent. Wine. #kbâ€_
2017-04-12 18:37:31 +0000,MerolaTile,"RT @DXVCanada: A3) Sleek fixtures with decorative, ornate touches create a unique at-home spa environment! #kbtribechat https://t.co/W8Y6Hbâ€_"
2017-04-12 18:28:51 +0000,MerolaTile,"RT @AMStandard: U donâ€™t have to renovate to create an at-home spa. Add candles, aromatherapy &amp; a bubble bath, &amp; youâ€™ve got a DIY spa night!â€_"
2017-04-12 18:28:37 +0000,MerolaTile,"Adding some wood decor pieces, white towels, and warm lighting can really amp up the spa vibes #kbtribechat"
2017-04-12 18:27:40 +0000,MerolaTile,"Declutter, add plants, light a candle, and play some music! #kbtribechat"
2017-04-12 18:24:11 +0000,MerolaTile,RT @REVASHELF: Whoo. Y'all need to check this shower out. _Ÿ˜ç Add music and some aroma-therapy and viola! #kbtribechat https://t.co/x8nqkoor1p
2017-04-12 18:23:51 +0000,MerolaTile,RT @ThompsonTraders: We're on DREAM BATH OVERLOAD on #kbtribechat!
2017-04-12 18:22:48 +0000,MerolaTile,Using nature inspired materials are a great way to create a cozy atmosphere #kbtribechat https://t.co/hbkEbfFQDa
2017-04-12 18:19:27 +0000,MerolaTile,The mix of colors and textures in this bathroom is spot on. The big bath &amp; shower room are also luxurious &amp; spa-like #kbtribechat https://t.co/2fp11eGSDd
2017-04-12 18:10:11 +0000,MerolaTile,"RT @best_flooring: A1.) Wood details can create a natural, earthy vibe, especially if one is going for neutral tones. #kbtribechat"
2017-04-12 18:10:03 +0000,MerolaTile,"RT @KBIS2018: A1: What better way to bring clients back to zen than with a natural, stacked stone feature wall? @eldoradostone #kbtribechatâ€_"
2017-04-12 18:09:54 +0000,MerolaTile,"RT @eldoradostone: A1) Homeowners can create spa bathrooms by using clean, neutral colors and designs that promote tranquility. #KBtribechaâ€_"
2017-04-12 18:08:50 +0000,MerolaTile,RT @GProductsInc love the use of wood! Natural and beautiful :)  #kbtribechat
2017-04-12 18:07:52 +0000,MerolaTile,@JSICabinetry Couldn't agree more #kbtribechat
2017-04-12 18:07:18 +0000,MerolaTile,@Robern Decluttering is so important! It's hard to relax when there's a mess to clean... #kbtribechat
2017-04-12 18:06:34 +0000,MerolaTile,Q1. We love a clean space with lots of natural-look materials like wood-look tiles &amp; pebbles that can withstand the humidity.  #kbtribechat
2017-04-12 18:04:55 +0000,MerolaTile,@KBIS2018 Us too! #kbtribechat
2017-04-12 17:59:11 +0000,MerolaTile,RT @DXVCanada: @KBtribechat Looking forward to an exciting chat on Spa Bathrooms! We're feeling relaxed already! _Ÿ˜‰
2017-04-12 17:57:26 +0000,MerolaTile,"Hi #kbtribechat! We are a tile, glass, and marble wholesaler and distributor in NY &amp; NJ"
2017-04-12 17:51:04 +0000,MerolaTile,Join us in today's #KBtribechat! We'd love to connect _Ÿ™‚ https://t.co/IYFA9ex7so
2017-04-12 17:47:30 +0000,MerolaTile,"RT @TableFountainPs: â€œYesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myselfâ€ù â€“ Anon #quoteoftheâ€_"
2017-04-12 16:20:59 +0000,MerolaTile,RT @MerolaTileNY: Get up-close and personal with Galaxy Bronze in this installation by Ken Kelly! https://t.co/ke4xm9igXq #interiordesign #â€_
2017-04-12 14:01:26 +0000,MerolaTile,Check out these beige subways that add a touch of sophistication to this bathroom! https://t.co/tn8I00wRyc #interiordesign #architecture https://t.co/JxKN8pSkXj
2017-04-11 14:01:19 +0000,MerolaTile,A stunning renovation in Maine makes this tired house the perfect lakeside cabin https://t.co/HzEIx7QlJc #interiordesign #architecture https://t.co/1vW7aA3nzf
2017-04-07 20:19:50 +0000,MerolaTile,"RT @MerolaTileNY: Pro tip: Use dark grout with a white tile for a bold, graphic look. https://t.co/ftmpUxDjUg #interiordesign #tiles https:â€_"
2017-04-07 16:01:54 +0000,MerolaTile,Carrara marble floors for the master bath of this Cape Cod-style house in Virginia! https://t.co/Xv6bujlg0U #houzz #interiordesign https://t.co/6vBHGqd6pt
2017-04-07 14:01:52 +0000,MerolaTile,Get up-close and personal with Galaxy Bronze in this installation by Ken Kelly! https://t.co/ke4xm9igXq #interiordesign #tiles https://t.co/XwP7T9dIbC
2017-04-06 19:01:29 +0000,MerolaTile,"Pro tip: Use dark grout with a white tile for a bold, graphic look. https://t.co/ftmpUxDjUg #interiordesign #tiles https://t.co/o5ypbMeOjD"
2017-04-06 16:02:00 +0000,MerolaTile,"What an exciting, energetic house designed from new-found freedom! https://t.co/96iIJ3ZrsR #houzz #interiordesign https://t.co/228wzG4fSB"
